record_id,Timestamp,Location,Latitude,Longitude,Day_of_Week,Hour_of_Day,Incident_Congestion,Weather_Condition,Road_Condition,Vehicle_Type,Vehicle_Damage,Accident_Severity,Accident_Reason,Driver_Violation,Number_of_Deaths,Number_of_Injuries,Summary_Road_Name,Daily_Traffic_Volume,Daily_Average_Speed,Daily_Congestion_Level,Daily_Incident_Reports,Daily_Public_Transport_Usage,Daily_Parking_Usage
4217,11/3/2023 0:07,Jayanagar,12.962582,77.454127,Friday,0,Moderate,Haze,Under Construction,Bus,Minor,Minor,Ignoring Signal,None,0,1,4th Block Complex,9829,53.9,30,0,31.18,78.54
4218,5/21/2023 10:22,Koramangala,13.005978,77.661012,Sunday,10,Heavy,Clear,Under Construction,Motorcycle,Severe,Fatal,Speeding,Jumping Signal,2,3,80 Feet Road,35031,24.37,58.9,0,84.52,59.37
4219,7/6/2023 15:30,Indiranagar,13.039368,77.637185,Thursday,15,Light,Haze,Dry,Bus,Minor,Minor,Drunk Driving,No Helmet,0,1,CMH Road,57526,7.03,99.51,3,34.22,91.46
4220,3/3/2023 16:51,Jayanagar,13.088799,77.613041,Friday,16,Moderate,Overcast,Under Construction,Auto Rickshaw,Minor,Minor,Distracted Driving,Jumping Signal,0,2,4th Block Complex,37972,25.75,63.07,1,68.55,91.55
4221,11/5/2023 12:43,Indiranagar,13.012142,77.7326,Sunday,12,Light,Overcast,Potholes,Truck,Moderate,Serious,Speeding,Overspeeding,0,4,100 Feet Road,30347,31.25,50.67,0,67.75,79.16
4222,12/3/2023 2:29,Jayanagar,12.863332,77.549651,Sunday,2,Light,Foggy,Under Construction,Auto Rickshaw,Moderate,Minor,Distracted Driving,None,0,1,South End Circle,16433,41.73,30.24,0,47.68,60.83
4223,12/21/2023 6:54,Koramangala,13.062667,77.537751,Thursday,6,Moderate,Cloudy,Wet,Auto Rickshaw,None,No Injury,Ignoring Signal,None,0,0,Sony World Junction,34482,28.74,47.88,0,74.57,87.53
4224,12/31/2023 14:02,HSR Layout,12.90078,77.629006,Sunday,14,Moderate,Haze,Wet,Car,Severe,Fatal,Ignoring Signal,No Helmet,2,1,27th Main Road,6594,55.14,30,1,69.66,59.5
4225,5/6/2023 16:36,Indiranagar,13.077098,77.470172,Saturday,16,Light,Overcast,Wet,Car,Moderate,Serious,Ignoring Signal,No Helmet,0,2,100 Feet Road,36296,19.34,63.87,0,30.15,87.31
4226,5/11/2023 2:50,HSR Layout,13.025284,77.706601,Thursday,2,Moderate,Foggy,Potholes,Bus,Minor,Minor,Ignoring Signal,No Helmet,0,1,27th Main Road,11466,47.78,30,0,59.37,65.55
4227,8/17/2023 16:10,HSR Layout,12.869174,77.645788,Thursday,16,Moderate,Cloudy,Dry,Truck,None,No Injury,Drunk Driving,Overspeeding,0,0,27th Main Road,20365,43.94,30,0,75.93,53.69
4228,10/27/2023 8:53,HSR Layout,12.910823,77.471152,Friday,8,Heavy,Cloudy,Potholes,Auto Rickshaw,Minor,Minor,Drunk Driving,None,0,1,27th Main Road,22208,35.68,30,0,57.79,74.1
4229,5/4/2023 16:34,Indiranagar,12.931563,77.642485,Thursday,16,Moderate,Overcast,Potholes,Bus,Severe,Serious,Distracted Driving,Overspeeding,0,4,CMH Road,6181,52.76,30,0,34.57,75.35
4230,1/15/2023 4:57,Whitefield,13.000504,77.626315,Sunday,4,Light,Overcast,Potholes,Auto Rickshaw,None,No Injury,Ignoring Signal,Jumping Signal,0,0,Marathahalli Bridge,24737,38.58,44.31,0,63.65,75.66
4231,4/14/2023 14:05,Koramangala,12.942542,77.503762,Friday,14,Light,Clear,Wet,Truck,Minor,Minor,Drunk Driving,Jumping Signal,0,2,80 Feet Road,30116,31.41,51.79,0,81.23,86.06
4232,6/18/2023 21:15,Jayanagar,13.048126,77.630736,Sunday,21,Light,Overcast,Wet,Motorcycle,Moderate,Serious,Speeding,None,0,3,4th Block Complex,50997,12.93,79.96,0,74.1,75.48
4233,8/18/2023 4:15,Koramangala,12.966552,77.520131,Friday,4,Light,Haze,Potholes,Bus,Severe,Serious,Ignoring Signal,No Helmet,0,2,80 Feet Road,38225,25.24,61.7,0,53.96,80.62
4234,12/11/2023 9:07,HSR Layout,13.043706,77.625578,Monday,9,Heavy,Raining,Dry,Auto Rickshaw,Minor,Minor,Distracted Driving,Overspeeding,0,1,Outer Ring Road,31292,31.22,47.16,0,58.11,51.96
4235,1/4/2023 13:35,Koramangala,13.006942,77.607506,Wednesday,13,Moderate,Overcast,Under Construction,Auto Rickshaw,Moderate,Minor,Distracted Driving,Jumping Signal,0,1,80 Feet Road,56638,11.68,96.27,0,53.82,73
4236,5/30/2023 6:22,Koramangala,12.96117,77.546448,Tuesday,6,Moderate,Clear,Dry,Bus,Minor,Minor,Distracted Driving,None,0,2,Sony World Junction,14650,46.99,30,0,58.84,86.22
4237,12/13/2023 6:34,Koramangala,12.833052,77.533144,Wednesday,6,Light,Foggy,Under Construction,Bicycle,Minor,Minor,Ignoring Signal,No Helmet,0,2,Sony World Junction,9884,53.75,30,0,51.27,67.69
4238,11/25/2023 4:58,Whitefield,13.094172,77.592017,Saturday,4,Moderate,Clear,Dry,Car,Severe,Serious,Ignoring Signal,Jumping Signal,0,4,ITPL Main Road,26623,29.78,42.09,0,41.13,79.62
4239,4/26/2023 3:42,Koramangala,12.932667,77.708964,Wednesday,3,Light,Foggy,Potholes,Bus,Severe,Serious,Drunk Driving,Jumping Signal,0,2,Sony World Junction,39399,22.75,68.57,1,76.55,62.32
4240,9/5/2023 2:27,Whitefield,12.896636,77.691808,Tuesday,2,Light,Foggy,Wet,Bus,Moderate,Minor,Ignoring Signal,Jumping Signal,0,2,ITPL Main Road,46138,12.68,68.39,1,71.15,64.02
4241,4/9/2023 17:31,HSR Layout,13.038548,77.713595,Sunday,17,Heavy,Foggy,Potholes,Car,Minor,Minor,Ignoring Signal,No Helmet,0,2,Outer Ring Road,25418,29.77,45.58,0,63.16,51.54
4242,2/25/2023 8:10,HSR Layout,12.977564,77.66662,Saturday,8,Very Heavy,Overcast,Under Construction,Car,Severe,Serious,Distracted Driving,Jumping Signal,0,3,Outer Ring Road,8965,49.83,30,0,64.04,88.07
4243,4/30/2023 23:58,Whitefield,13.080005,77.676048,Sunday,23,Moderate,Raining,Dry,Motorcycle,Minor,Minor,Ignoring Signal,None,0,1,ITPL Main Road,30241,32,53.11,0,76.14,84.08
4244,9/21/2023 9:40,Koramangala,12.958854,77.649624,Thursday,9,Very Heavy,Overcast,Dry,Bicycle,Moderate,Minor,Speeding,No Helmet,0,1,80 Feet Road,37340,20.59,63.2,0,77.88,57.53
4245,2/2/2023 11:55,Whitefield,12.984323,77.52256,Thursday,11,Heavy,Cloudy,Under Construction,Auto Rickshaw,Moderate,Minor,Distracted Driving,Jumping Signal,0,2,ITPL Main Road,28617,35.18,44.58,0,61.2,80.89
4246,3/15/2023 9:32,Indiranagar,12.92347,77.610456,Wednesday,9,Very Heavy,Cloudy,Under Construction,Motorcycle,Moderate,Minor,Ignoring Signal,Overspeeding,0,1,CMH Road,42542,14.65,68.02,0,83.78,83.98
4247,4/25/2023 16:56,HSR Layout,12.836152,77.703746,Tuesday,16,Moderate,Raining,Wet,Motorcycle,None,No Injury,Distracted Driving,None,0,0,27th Main Road,51785,12.68,81.05,0,49.08,94.24
4248,6/10/2023 21:28,Indiranagar,12.986014,77.595716,Saturday,21,Moderate,Foggy,Potholes,Auto Rickshaw,Moderate,Minor,Distracted Driving,Jumping Signal,0,2,CMH Road,17463,37.78,30,0,36.52,82.11
4249,11/23/2023 12:02,Jayanagar,12.928143,77.605448,Thursday,12,Moderate,Cloudy,Potholes,Motorcycle,Severe,Fatal,Distracted Driving,None,2,0,4th Block Complex,11996,43.89,30,0,74.71,87.92
4250,1/1/2023 22:43,Indiranagar,12.97649,77.657377,Sunday,22,Moderate,Cloudy,Potholes,Auto Rickshaw,Moderate,Minor,Distracted Driving,No Helmet,0,2,100 Feet Road,41002,23.06,71.91,1,80.35,90.14
4251,8/31/2023 18:57,Koramangala,12.899252,77.628235,Thursday,18,Heavy,Raining,Potholes,Truck,Moderate,Minor,Drunk Driving,Overspeeding,0,2,Sony World Junction,35210,26.42,55.3,1,83.15,88.03
4252,12/22/2023 15:42,Indiranagar,12.873523,77.668568,Friday,15,Moderate,Haze,Wet,Bus,Minor,Minor,Ignoring Signal,Jumping Signal,0,1,100 Feet Road,47777,9.52,73.01,0,45.46,54.64
4253,8/1/2023 10:26,Indiranagar,12.85201,77.628464,Tuesday,10,Very Heavy,Foggy,Under Construction,Auto Rickshaw,Moderate,Serious,Drunk Driving,None,0,1,CMH Road,51808,10.74,87.05,0,63.37,82.14
4254,12/22/2023 11:57,HSR Layout,12.944722,77.527523,Friday,11,Very Heavy,Clear,Dry,Truck,Moderate,Minor,Distracted Driving,Overspeeding,0,1,27th Main Road,20637,42.86,36.23,0,66.72,91.17
4255,11/7/2023 2:40,HSR Layout,12.891271,77.743826,Tuesday,2,Light,Cloudy,Wet,Bicycle,Minor,Minor,Speeding,None,0,1,Outer Ring Road,56882,14.36,96.47,3,62.32,56.92
4256,1/19/2023 14:11,Indiranagar,12.823826,77.609482,Thursday,14,Moderate,Foggy,Under Construction,Bus,Minor,Minor,Drunk Driving,No Helmet,0,2,100 Feet Road,34229,25.47,48.77,0,40,50.38
4257,6/26/2023 12:20,Jayanagar,12.991235,77.494521,Monday,12,Moderate,Haze,Potholes,Bicycle,Moderate,Serious,Distracted Driving,Jumping Signal,0,1,4th Block Complex,13594,49.3,30,0,81.38,95.56
4258,10/12/2023 2:13,Koramangala,13.020476,77.731162,Thursday,2,Moderate,Cloudy,Wet,Truck,Minor,Minor,Ignoring Signal,Overspeeding,0,2,Sony World Junction,10878,52.48,30,0,58.47,92.13
4259,9/8/2023 18:48,HSR Layout,13.074067,77.568048,Friday,18,Heavy,Foggy,Wet,Auto Rickshaw,Moderate,Minor,Ignoring Signal,No Helmet,0,1,Outer Ring Road,8678,52.98,30,0,42,60.32
4260,5/29/2023 19:03,HSR Layout,13.05382,77.740213,Monday,19,Very Heavy,Foggy,Wet,Motorcycle,Moderate,Serious,Distracted Driving,Jumping Signal,0,1,Outer Ring Road,20037,42.75,31.67,0,63.42,97.33
4261,6/4/2023 8:11,Koramangala,13.073422,77.595629,Sunday,8,Heavy,Raining,Dry,Car,Severe,Serious,Distracted Driving,No Helmet,0,3,80 Feet Road,51585,13.65,89.35,1,48.11,92.08
4262,2/3/2023 13:37,HSR Layout,13.01943,77.451517,Friday,13,Light,Raining,Potholes,Truck,Moderate,Minor,Ignoring Signal,Overspeeding,0,2,Outer Ring Road,32127,24.26,52.72,0,55.4,84.24
4263,3/4/2023 21:30,Jayanagar,12.942423,77.62411,Saturday,21,Light,Cloudy,Dry,Truck,None,No Injury,Drunk Driving,Jumping Signal,0,0,South End Circle,17475,38.14,30,0,51.74,77.36
4264,10/28/2023 20:04,Koramangala,13.070825,77.460677,Saturday,20,Heavy,Cloudy,Wet,Motorcycle,None,No Injury,Distracted Driving,Jumping Signal,0,0,Sony World Junction,10237,49.43,30,0,79.83,64.33
4265,10/3/2023 22:36,HSR Layout,13.072814,77.490038,Tuesday,22,Moderate,Overcast,Dry,Auto Rickshaw,Minor,Minor,Distracted Driving,Overspeeding,0,1,27th Main Road,35875,19.25,52.09,2,39.02,65.78
4266,5/11/2023 12:34,Whitefield,13.098985,77.519344,Thursday,12,Moderate,Foggy,Under Construction,Auto Rickshaw,Moderate,Serious,Drunk Driving,Jumping Signal,0,2,Marathahalli Bridge,34039,25.71,57.78,0,55.7,98.93
4267,7/15/2023 8:59,Whitefield,12.934592,77.649833,Saturday,8,Heavy,Clear,Dry,Truck,Severe,Serious,Distracted Driving,Jumping Signal,0,4,ITPL Main Road,30631,24.78,43.93,0,33.31,77.24
4268,12/30/2023 2:41,Whitefield,12.835566,77.520659,Saturday,2,Light,Clear,Under Construction,Auto Rickshaw,Minor,Minor,Distracted Driving,Overspeeding,0,1,ITPL Main Road,6730,55.33,30,1,33.55,92.71
4269,7/9/2023 7:25,Indiranagar,12.868934,77.451032,Sunday,7,Moderate,Cloudy,Wet,Motorcycle,Minor,Minor,Drunk Driving,Overspeeding,0,1,100 Feet Road,50946,8.32,88.19,0,31.97,58.44
4270,4/12/2023 5:17,Jayanagar,13.017464,77.730483,Wednesday,5,Moderate,Overcast,Potholes,Bicycle,Severe,Serious,Speeding,None,0,3,4th Block Complex,31935,26.64,48.09,0,65.74,71.74
4271,9/8/2023 13:26,Jayanagar,12.828956,77.709884,Friday,13,Light,Overcast,Wet,Bus,Severe,Serious,Drunk Driving,Jumping Signal,0,2,4th Block Complex,17185,46.21,32.65,0,62.58,88.9
4272,12/12/2023 17:41,HSR Layout,13.043059,77.661215,Tuesday,17,Heavy,Haze,Potholes,Bus,None,No Injury,Distracted Driving,None,0,0,Outer Ring Road,19065,43.91,30,1,58.48,87.36
4273,9/30/2023 0:03,Koramangala,13.121111,77.476141,Saturday,0,Moderate,Cloudy,Potholes,Bicycle,Moderate,Minor,Drunk Driving,No Helmet,0,2,80 Feet Road,24103,32.97,42.62,1,47.94,73.54
4274,1/25/2023 20:13,HSR Layout,12.829156,77.473098,Wednesday,20,Heavy,Foggy,Potholes,Motorcycle,Minor,Minor,Speeding,None,0,2,27th Main Road,27879,33.67,44.95,0,49.43,64.1
4275,2/9/2023 9:50,HSR Layout,13.101949,77.611284,Thursday,9,Heavy,Clear,Potholes,Bicycle,Minor,Minor,Drunk Driving,Overspeeding,0,2,27th Main Road,14208,44.74,30,0,57.71,85
4276,4/18/2023 11:43,Indiranagar,13.111421,77.628061,Tuesday,11,Heavy,Overcast,Wet,Motorcycle,Moderate,Minor,Distracted Driving,Overspeeding,0,2,CMH Road,39432,21.1,60.34,1,34.16,51.76
4277,10/2/2023 15:46,Koramangala,13.022895,77.618937,Monday,15,Moderate,Overcast,Dry,Truck,Minor,Minor,Speeding,No Helmet,0,1,80 Feet Road,22463,35.92,31.94,1,52.06,64.42
4278,3/29/2023 3:41,Whitefield,12.898462,77.539013,Wednesday,3,Moderate,Haze,Potholes,Car,Minor,Minor,Drunk Driving,No Helmet,0,2,ITPL Main Road,29377,33.66,49.52,0,59.02,51.26
4279,1/29/2023 5:06,HSR Layout,12.905529,77.653884,Sunday,5,Moderate,Cloudy,Dry,Truck,Moderate,Minor,Ignoring Signal,Overspeeding,0,1,Outer Ring Road,49943,14.51,77.79,0,78.11,89.34
4280,2/22/2023 5:55,Jayanagar,12.937555,77.520936,Wednesday,5,Light,Foggy,Dry,Motorcycle,Severe,Fatal,Ignoring Signal,None,1,2,4th Block Complex,59828,11.32,92.52,0,66.54,88.9
4281,12/26/2023 10:35,HSR Layout,13.095136,77.631274,Tuesday,10,Very Heavy,Cloudy,Wet,Car,Severe,Serious,Distracted Driving,Jumping Signal,0,4,Outer Ring Road,39577,20.14,59.37,0,30.91,67.85
4282,12/21/2023 11:26,Jayanagar,12.851336,77.50398,Thursday,11,Very Heavy,Clear,Under Construction,Auto Rickshaw,Moderate,Minor,Ignoring Signal,None,0,2,South End Circle,53973,12.21,90.59,0,34.87,95.95
4283,8/16/2023 1:08,Jayanagar,12.939645,77.68494,Wednesday,1,Moderate,Clear,Potholes,Car,Moderate,Minor,Distracted Driving,Overspeeding,0,1,South End Circle,59441,8.91,89.76,0,56.77,79.7
4284,10/3/2023 1:13,Indiranagar,13.025817,77.705294,Tuesday,1,Moderate,Raining,Wet,Bicycle,Moderate,Minor,Ignoring Signal,None,0,1,100 Feet Road,42366,17.29,71.28,2,55.47,54.03
4285,9/13/2023 17:40,Indiranagar,12.942294,77.739743,Wednesday,17,Heavy,Foggy,Potholes,Bus,Moderate,Minor,Speeding,Jumping Signal,0,2,CMH Road,40934,16.64,59.79,4,55.87,89.12
4286,8/1/2023 19:18,Whitefield,12.903976,77.693893,Tuesday,19,Heavy,Clear,Wet,Truck,None,No Injury,Ignoring Signal,None,0,0,Marathahalli Bridge,30593,30.66,50.04,0,58.67,57.16
4287,4/22/2023 15:16,Koramangala,12.928674,77.520524,Saturday,15,Moderate,Foggy,Dry,Bus,Severe,Serious,Distracted Driving,Jumping Signal,0,3,80 Feet Road,20600,40.38,38.5,0,70.8,83.96
4288,4/1/2023 8:21,Jayanagar,13.028394,77.57382,Saturday,8,Very Heavy,Cloudy,Under Construction,Bus,Minor,Minor,Distracted Driving,Overspeeding,0,2,4th Block Complex,17033,40.51,30,0,57.96,56
4289,4/21/2023 20:16,Whitefield,12.902152,77.59737,Friday,20,Very Heavy,Overcast,Under Construction,Truck,Minor,Minor,Ignoring Signal,None,0,1,Marathahalli Bridge,6231,52.23,30,0,57.07,78.46
4290,5/29/2023 12:27,HSR Layout,12.960831,77.502005,Monday,12,Light,Raining,Under Construction,Motorcycle,None,No Injury,Ignoring Signal,Jumping Signal,0,0,Outer Ring Road,20037,42.75,31.67,0,63.42,97.33
4291,12/15/2023 13:49,Jayanagar,13.055489,77.556747,Friday,13,Moderate,Raining,Dry,Truck,Moderate,Minor,Speeding,None,0,2,South End Circle,42314,14.41,70.1,0,68.65,86.61
4292,5/26/2023 5:50,HSR Layout,12.971868,77.474038,Friday,5,Light,Clear,Potholes,Bus,Minor,Minor,Ignoring Signal,None,0,2,27th Main Road,30325,25.31,50.67,0,51.59,63.72
4293,11/14/2023 9:50,Koramangala,12.841885,77.453204,Tuesday,9,Very Heavy,Clear,Dry,Bus,Moderate,Minor,Drunk Driving,None,0,2,Sony World Junction,36620,25.85,58.15,1,83.04,80.82
4294,9/19/2023 2:42,Koramangala,13.099719,77.659722,Tuesday,2,Moderate,Clear,Dry,Motorcycle,Moderate,Minor,Drunk Driving,No Helmet,0,1,80 Feet Road,25339,37.65,37,0,57.28,73.21
4295,1/5/2023 1:50,HSR Layout,13.089339,77.722717,Thursday,1,Light,Cloudy,Potholes,Bus,None,No Injury,Ignoring Signal,No Helmet,0,0,Outer Ring Road,35187,20.18,48.68,0,50.37,52.54
4296,9/15/2023 4:21,Jayanagar,13.032384,77.568123,Friday,4,Moderate,Cloudy,Wet,Motorcycle,Minor,Minor,Drunk Driving,Jumping Signal,0,1,4th Block Complex,20760,38.02,30,0,66,61.04
4297,11/29/2023 18:52,Jayanagar,12.932969,77.658418,Wednesday,18,Heavy,Haze,Under Construction,Bicycle,Minor,Minor,Drunk Driving,No Helmet,0,2,South End Circle,20178,36.57,30,0,31.35,71.38
4298,9/23/2023 15:20,Indiranagar,12.877683,77.665358,Saturday,15,Light,Foggy,Wet,Car,Moderate,Serious,Drunk Driving,Overspeeding,0,2,CMH Road,17951,45.36,30,1,80.45,59.01
4299,10/23/2023 10:19,Koramangala,12.946176,77.645011,Monday,10,Very Heavy,Cloudy,Under Construction,Car,None,No Injury,Speeding,None,0,0,80 Feet Road,18160,40.47,32.99,0,75.81,75.94
4300,7/9/2023 20:52,Indiranagar,12.990764,77.59557,Sunday,20,Heavy,Clear,Potholes,Truck,Minor,Minor,Speeding,Jumping Signal,0,2,100 Feet Road,50946,8.32,88.19,0,31.97,58.44
4301,11/11/2023 4:27,Koramangala,13.116857,77.530982,Saturday,4,Moderate,Cloudy,Under Construction,Car,Moderate,Minor,Speeding,No Helmet,0,2,80 Feet Road,58671,5.47,100,0,57.32,63.15
4302,10/23/2023 6:31,Whitefield,12.982038,77.561069,Monday,6,Light,Raining,Potholes,Truck,None,No Injury,Distracted Driving,None,0,0,Marathahalli Bridge,30428,30.25,54.61,0,35.35,96.52
4303,8/8/2023 3:59,Indiranagar,13.029053,77.480596,Tuesday,3,Moderate,Raining,Under Construction,Bicycle,Severe,Serious,Drunk Driving,None,0,2,100 Feet Road,8951,51.17,30,0,50.47,76.19
4304,8/5/2023 15:12,Jayanagar,12.936373,77.554569,Saturday,15,Light,Raining,Wet,Bicycle,None,No Injury,Distracted Driving,No Helmet,0,0,4th Block Complex,24248,35.2,31.85,1,76.47,72.02
4305,2/3/2023 4:05,Jayanagar,12.922942,77.534184,Friday,4,Moderate,Clear,Wet,Truck,Moderate,Minor,Speeding,Jumping Signal,0,1,South End Circle,52745,6.02,92.2,0,49.79,82.29
4306,10/26/2023 17:33,HSR Layout,13.096121,77.684079,Thursday,17,Very Heavy,Clear,Wet,Auto Rickshaw,Severe,Serious,Speeding,None,0,3,27th Main Road,45491,15.88,79.03,0,65.56,69.97
4307,12/11/2023 8:44,Jayanagar,13.098367,77.528987,Monday,8,Very Heavy,Raining,Wet,Motorcycle,Moderate,Minor,Distracted Driving,None,0,2,South End Circle,20094,40.88,32.15,0,41.29,57.57
4308,5/29/2023 18:53,HSR Layout,12.960662,77.669581,Monday,18,Very Heavy,Foggy,Dry,Motorcycle,Severe,Serious,Distracted Driving,Jumping Signal,0,4,Outer Ring Road,20037,42.75,31.67,0,63.42,97.33
4309,6/25/2023 9:03,Jayanagar,12.970582,77.490696,Sunday,9,Very Heavy,Haze,Dry,Truck,Moderate,Minor,Ignoring Signal,None,0,2,South End Circle,39920,23.6,58.2,0,35.98,66.7
4310,1/15/2023 19:03,Koramangala,13.034155,77.718077,Sunday,19,Heavy,Foggy,Under Construction,Bicycle,Moderate,Serious,Drunk Driving,No Helmet,0,4,80 Feet Road,42181,22.05,68.9,1,70.19,85.45
4311,10/16/2023 0:54,Whitefield,13.048268,77.700942,Monday,0,Moderate,Overcast,Wet,Truck,None,No Injury,Speeding,Jumping Signal,0,0,Marathahalli Bridge,24074,39.91,38.38,3,82.78,79.43
4312,10/10/2023 9:50,HSR Layout,12.89556,77.676511,Tuesday,9,Heavy,Overcast,Wet,Bus,Moderate,Minor,Distracted Driving,None,0,1,Outer Ring Road,10845,47.18,30,1,67.53,66.73
4313,11/7/2023 12:24,Indiranagar,12.995206,77.519459,Tuesday,12,Moderate,Cloudy,Potholes,Motorcycle,Minor,Minor,Drunk Driving,None,0,2,CMH Road,54057,12.91,93.08,0,39.38,64.03
4314,2/11/2023 20:39,Jayanagar,13.045429,77.474634,Saturday,20,Heavy,Foggy,Under Construction,Bus,Minor,Minor,Ignoring Signal,No Helmet,0,1,4th Block Complex,32652,26.72,52.27,3,47.22,50.89
4315,1/30/2023 20:09,Koramangala,12.922005,77.580402,Monday,20,Very Heavy,Cloudy,Wet,Truck,Minor,Minor,Speeding,None,0,1,80 Feet Road,23763,33.98,30,0,38.61,84.4
4316,5/23/2023 7:00,Indiranagar,12.823857,77.679064,Tuesday,7,Light,Foggy,Potholes,Car,Minor,Minor,Distracted Driving,Overspeeding,0,1,100 Feet Road,23914,33.81,42.96,0,59.75,95.85
4317,4/4/2023 1:15,Whitefield,13.045036,77.717449,Tuesday,1,Moderate,Clear,Wet,Motorcycle,Moderate,Serious,Ignoring Signal,Jumping Signal,0,1,ITPL Main Road,52148,13.39,77.17,0,43.68,88.9
4318,12/26/2023 21:25,Indiranagar,13.10653,77.508782,Tuesday,21,Light,Raining,Potholes,Auto Rickshaw,Moderate,Serious,Speeding,Overspeeding,0,4,100 Feet Road,24276,33.01,39.36,0,81.83,62.61
4319,2/8/2023 12:47,HSR Layout,12.849905,77.527302,Wednesday,12,Light,Foggy,Potholes,Auto Rickshaw,None,No Injury,Ignoring Signal,Overspeeding,0,0,27th Main Road,38728,21.39,66.97,0,84.37,62.81
4320,9/29/2023 10:27,HSR Layout,12.834842,77.706078,Friday,10,Heavy,Clear,Under Construction,Auto Rickshaw,Minor,Minor,Distracted Driving,Jumping Signal,0,1,27th Main Road,17935,39.76,32.97,0,65.1,84.4
4321,12/30/2023 18:12,Jayanagar,12.882511,77.615461,Saturday,18,Very Heavy,Raining,Potholes,Bus,None,No Injury,Ignoring Signal,Jumping Signal,0,0,4th Block Complex,35144,24.34,53.56,0,69.82,60.96
4322,7/7/2023 9:06,Whitefield,13.115307,77.569156,Friday,9,Very Heavy,Haze,Potholes,Car,Minor,Minor,Ignoring Signal,None,0,2,Marathahalli Bridge,14183,44.51,30,0,30.72,72.81
4323,3/21/2023 8:00,Indiranagar,12.904003,77.702367,Tuesday,8,Very Heavy,Raining,Potholes,Bicycle,Minor,Minor,Ignoring Signal,Jumping Signal,0,1,CMH Road,24638,39.52,44.41,0,32.97,56.09
4324,11/6/2023 4:27,Whitefield,12.973494,77.652861,Monday,4,Light,Raining,Dry,Car,Moderate,Serious,Distracted Driving,Jumping Signal,0,3,Marathahalli Bridge,44607,13.62,69.6,0,48.16,57.25
4325,1/13/2023 5:34,Jayanagar,13.089951,77.520153,Friday,5,Moderate,Cloudy,Under Construction,Motorcycle,Moderate,Minor,Speeding,Overspeeding,0,2,South End Circle,44059,11.47,75.76,0,32.14,82.69
4326,5/17/2023 17:08,Indiranagar,12.83274,77.450085,Wednesday,17,Very Heavy,Clear,Wet,Bicycle,Severe,Serious,Speeding,No Helmet,0,1,100 Feet Road,20317,38.88,33.79,0,56.69,83.69
4327,4/10/2023 8:49,Indiranagar,13.094293,77.736428,Monday,8,Heavy,Overcast,Dry,Car,Moderate,Serious,Distracted Driving,No Helmet,0,2,100 Feet Road,43406,14.52,73.91,0,82.95,85.87
4328,4/26/2023 12:55,Whitefield,13.112554,77.698688,Wednesday,12,Light,Raining,Wet,Motorcycle,Minor,Minor,Drunk Driving,None,0,1,Marathahalli Bridge,37926,23.81,61.37,0,48.37,69.93
4329,9/30/2023 18:23,Whitefield,12.829297,77.627853,Saturday,18,Heavy,Foggy,Dry,Auto Rickshaw,Minor,Minor,Speeding,No Helmet,0,2,ITPL Main Road,22214,37.34,34.09,4,41.88,60.49
4330,6/15/2023 18:41,HSR Layout,12.879084,77.559756,Thursday,18,Very Heavy,Foggy,Dry,Car,Moderate,Minor,Drunk Driving,No Helmet,0,2,27th Main Road,53503,6.82,89.8,0,39.19,85.09
4331,11/18/2023 13:37,Indiranagar,13.039385,77.588295,Saturday,13,Light,Raining,Potholes,Car,Severe,Serious,Drunk Driving,No Helmet,0,3,100 Feet Road,27362,30.46,36.08,1,44.44,53
4332,8/5/2023 16:52,Whitefield,12.914989,77.520562,Saturday,16,Light,Cloudy,Under Construction,Bus,Minor,Minor,Distracted Driving,Overspeeding,0,1,Marathahalli Bridge,56980,12.4,94.91,0,76.91,88.45
4333,2/24/2023 13:31,HSR Layout,12.833697,77.564963,Friday,13,Light,Raining,Potholes,Bus,Moderate,Serious,Ignoring Signal,None,0,3,Outer Ring Road,41136,17.35,65.75,0,74.53,64.3
4334,2/16/2023 7:17,HSR Layout,12.934595,77.459959,Thursday,7,Moderate,Cloudy,Wet,Truck,Minor,Minor,Distracted Driving,Jumping Signal,0,1,Outer Ring Road,45966,12.79,72.11,0,80.36,80.93
4335,3/31/2023 16:05,Indiranagar,13.026805,77.700952,Friday,16,Moderate,Cloudy,Under Construction,Motorcycle,Minor,Minor,Drunk Driving,Overspeeding,0,1,100 Feet Road,59483,8.32,97.36,0,52.92,76.48
4336,5/21/2023 17:01,Whitefield,13.077449,77.58546,Sunday,17,Heavy,Cloudy,Dry,Bicycle,Moderate,Serious,Distracted Driving,None,0,4,ITPL Main Road,36064,28.55,61.74,0,80,81.62
4337,6/12/2023 9:33,Indiranagar,13.079338,77.469044,Monday,9,Heavy,Cloudy,Wet,Bus,Minor,Minor,Speeding,Overspeeding,0,2,CMH Road,18015,45.22,31.7,0,39.95,78.44
4338,8/26/2023 8:12,Jayanagar,12.894891,77.658216,Saturday,8,Very Heavy,Overcast,Potholes,Bus,Severe,Serious,Distracted Driving,Jumping Signal,0,2,South End Circle,34647,30.11,51.83,0,30.72,75.28
4339,2/23/2023 19:21,HSR Layout,12.934289,77.607297,Thursday,19,Heavy,Raining,Dry,Auto Rickshaw,Severe,Fatal,Speeding,Jumping Signal,2,3,Outer Ring Road,41583,16.13,67.28,3,61.15,91.31
